id,time_days,timestamp_ms,latitude,longitude,magnitude,parent_id,generation,time_utc
sim_297,0.0739726164303778,1782345064623,11.655359091933551,-67.63941359403354,2.5,us6000t7zc,1,2026-06-24 23:51:04
sim_299,0.07471251041774826,1782345128549,11.245032853537293,-69.81206364110362,2.2,us6000t7zc,1,2026-06-24 23:52:08
sim_147,0.07725552903658293,1782345348266,10.030150922376274,-68.47610263873325,2.0,us6000t7zp,1,2026-06-24 23:55:48
sim_143,0.07863882829761372,1782345467783,10.464306674714518,-68.42394943194085,2.1,us6000t7zp,1,2026-06-24 23:57:47
sim_30,0.07868458638826449,1782345471737,11.301641495362245,-68.4137294815647,2.0,us6000t7zp,1,2026-06-24 23:57:51
sim_160,0.08412867375426089,1782345942106,10.402198984710612,-68.42746871639065,2.1,us6000t7zp,1,2026-06-25 00:05:42
sim_60,0.09190196718264149,1782346613718,10.052190877872532,-68.31712497436112,2.2,us6000t7zp,1,2026-06-25 00:16:53
sim_234,0.09490571807603447,1782346873243,10.460924122142542,-68.69484389426475,2.6,us6000t7zc,1,2026-06-25 00:21:13
sim_342,0.09548779405911145,1782346923534,11.504921180929696,-69.84220100565355,2.5,sim_49,2,2026-06-25 00:22:03
sim_178,0.09968255155919994,1782347285961,10.429857795533467,-68.78341973398932,2.3,us6000t7zp,1,2026-06-25 00:28:05
sim_387,0.10064912622037978,1782347369473,9.845686318726242,-68.88251627036892,2.7,sim_302,2,2026-06-25 00:29:29
sim_409,0.10153177378121661,1782347445734,9.817735751967465,-69.04566723091779,2.1,sim_387,3,2026-06-25 00:30:45
sim_183,0.11110493176267995,1782348272855,10.364922061030006,-68.47431552878204,2.1,us6000t7zp,1,2026-06-25 00:44:32
sim_252,0.11491759781528929,1782348602269,10.286816119238061,-68.48801624068497,2.0,us6000t7zc,1,2026-06-25 00:50:02
sim_56,0.11736224450174607,1782348813486,10.416354945537472,-68.52271923422308,2.8,us6000t7zp,1,2026-06-25 00:53:33
sim_153,0.12393946358848178,1782349381758,10.490238274263916,-68.50128399145375,2.0,us6000t7zp,1,2026-06-25 01:03:01
sim_293,0.1255251042588597,1782349518758,10.30265849097365,-68.51021897752985,2.0,us6000t7zc,1,2026-06-25 01:05:18
sim_366,0.13136639506592498,1782350023445,10.469052800771873,-68.79163286546047,2.4,sim_201,2,2026-06-25 01:13:43
sim_97,0.1329160243848934,1782350157333,10.204307777342695,-68.46809850256489,2.2,us6000t7zp,1,2026-06-25 01:15:57
sim_181,0.14206941520596617,1782350948186,10.389583840950003,-68.4584608005278,2.4,us6000t7zp,1,2026-06-25 01:29:08
sim_26,0.1462526387146798,1782351309616,11.688713091883104,-69.10306319118814,2.1,us6000t7zp,1,2026-06-25 01:35:09
sim_63,0.1468498367656976,1782351361214,10.490818783876833,-68.38707547255957,3.0,us6000t7zp,1,2026-06-25 01:36:01
sim_219,0.15256378710648666,1782351854900,10.485792806735489,-68.58140745227819,2.7,us6000t7zc,1,2026-06-25 01:44:14
sim_141,0.1594894971604101,1782352453281,10.56067126682767,-69.24506485573727,2.1,us6000t7zp,1,2026-06-25 01:54:13
sim_135,0.16401560325091105,1782352844337,10.294446532139292,-68.44090001824043,3.0,us6000t7zp,1,2026-06-25 02:00:44
sim_267,0.16693032897621568,1782353096169,10.430509613082823,-68.49930502876991,2.7,us6000t7zc,1,2026-06-25 02:04:56
sim_314,0.16784357412717785,1782353175073,10.446021153250504,-68.50876635555109,2.0,us6000t7zc,1,2026-06-25 02:06:15
sim_256,0.16799863326615974,1782353188470,10.629133456295087,-68.80501030348591,4.7,us6000t7zc,1,2026-06-25 02:06:28
sim_129,0.18267742597812828,1782354456718,10.3982991424772,-68.49169259986523,2.4,us6000t7zp,1,2026-06-25 02:27:36
sim_376,0.18293738378545465,1782354479178,10.589556283338773,-68.7220441564685,2.5,sim_256,2,2026-06-25 02:27:59
sim_66,0.18677611810052222,1782354810845,10.428872172096733,-68.51661535888226,2.8,us6000t7zp,1,2026-06-25 02:33:30
sim_202,0.1913435459245348,1782355205471,10.307201084590487,-68.59028881292828,3.1,us6000t7zp,1,2026-06-25 02:40:05
sim_157,0.19279558498077953,1782355330927,10.344199631560818,-68.66555415139358,2.1,us6000t7zp,1,2026-06-25 02:42:10
sim_301,0.204271832472607,1782356322475,10.533896110561104,-69.11346913584579,2.5,us6000t7zc,1,2026-06-25 02:58:42
sim_149,0.20559187498201573,1782356436526,10.309595423691446,-68.47362804894088,2.4,us6000t7zp,1,2026-06-25 03:00:36
sim_329,0.21004295192287534,1782356821100,10.810031516474483,-67.05064791568873,2.2,us6000t7zc,1,2026-06-25 03:07:01
sim_109,0.21963436739945003,1782357649798,10.37749105571872,-68.41755414580255,3.4,us6000t7zp,1,2026-06-25 03:20:49
sim_123,0.23490790859691682,1782358969432,9.179420702572147,-67.63727076420544,2.4,us6000t7zp,1,2026-06-25 03:42:49
sim_231,0.24046614336922997,1782359449663,10.478398551042948,-68.38587160606842,2.2,us6000t7zc,1,2026-06-25 03:50:49
